id,title,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,raw_address,street_name,street_number,floor,is_floor_under,neighborhood_id,operation,rent_price,buy_price,buy_price_by_area,house_type_id,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,has_ac,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_storage_room,is_accessible,has_green_zones,energy_certificate,has_parking,is_parking_included_in_price,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east,full_address,latitude,longitude,subtitle
11592," Casa o chalet independiente en venta en calle Alonso Saavedra, 25",185.0,,5,3.0,"Calle Alonso Saavedra, 25",Calle Alonso Saavedra,25,,False,Neighborhood 57: Apóstol Santiago (2679.63 €/m2) - District 9: Hortaleza,sale,2333,800000,4324,HouseType 2: Casa o chalet,False,False,,,,False,,,True,False,True,True,True,False,no indicado,False,,,,,,,"25 Calle Alonso Saavedra, Madrid, Spain",40.4711076,-3.6617042,"Apóstol Santiago, Madrid"
11591,Piso en venta en calle de López de Hoyos,65.0,48.0,3,1.0,Calle de López de Hoyos,Calle de López de Hoyos,,1,False,Neighborhood 61: Pinar del Rey (2915.33 €/m2) - District 9: Hortaleza,sale,901,195000,3000,HouseType 1: Pisos,False,False,1961.0,False,True,False,True,True,False,False,False,False,True,True,F,False,,,True,False,False,True,"Calle de López de Hoyos, Madrid, Spain",40.4383489,-3.6841778,"Pinar del Rey, Madrid"
11590,"Piso en venta en calle de Carrion de los Condes, 67",71.0,,3,1.0,"Calle de Carrion de los Condes, 67",Calle de Carrion de los Condes,67,5,False,Neighborhood 57: Apóstol Santiago (2679.63 €/m2) - District 9: Hortaleza,sale,870,185600,2614,HouseType 1: Pisos,False,,,,,False,,,False,False,False,False,False,False,no indicado,False,,,,,,,"67 Calle de Carrion de los Condes, Madrid, Spain",40.4753791,-3.6590379,"Apóstol Santiago, Madrid"
11589,"Piso en venta en calle Princesa de Éboli, 9",142.0,,3,2.0,"Calle Princesa de Éboli, 9",Calle Princesa de Éboli,9,1,False,Neighborhood 62: Sanchinarro (4456.18 €/m2) - District 9: Hortaleza,sale,1800,558000,3930,HouseType 1: Pisos,False,False,,,,True,True,True,False,True,False,True,False,True,A,True,True,0.0,,,,,"9 Calle Princesa de Éboli, Madrid, Spain",40.4868589,-3.6558692,"Sanchinarro, Madrid"
11588,"Piso en venta en calle del Golfo de Salonica, 42",128.0,,3,2.0,"Calle del Golfo de Salonica, 42",Calle del Golfo de Salonica,42,3,False,Neighborhood 57: Apóstol Santiago (2679.63 €/m2) - District 9: Hortaleza,sale,1610,475000,3711,HouseType 1: Pisos,False,False,,False,True,True,True,True,False,True,True,True,False,True,E,True,True,0.0,False,True,True,True,"42 Calle del Golfo de Salonica, Madrid, Spain",40.4801684,-3.6626839051141062,"Apóstol Santiago, Madrid"
11587,"Piso en venta en calle Torregrosa, 33",72.0,,2,1.0,"Calle Torregrosa, 33",Calle Torregrosa,33,3,False,Neighborhood 61: Pinar del Rey (2915.33 €/m2) - District 9: Hortaleza,sale,1009,230000,3194,HouseType 1: Pisos,False,False,,,,True,False,True,False,False,True,False,False,False,en trámite,False,,,False,False,True,False,"33 Calle Torregrosa, Madrid, Spain",40.4713316,-3.6481755,"Pinar del Rey, Madrid"
11586,"Estudio en venta en calle de Alejandro Villegas, 3",40.0,,0,1.0,"Calle de Alejandro Villegas, 3",Calle de Alejandro Villegas,3,1,False,Neighborhood 58: Canillas (3152.53 €/m2) - District 9: Hortaleza,sale,797,164680,4117,,False,False,,False,True,True,True,True,False,False,False,False,True,False,en trámite,True,False,18000.0,,,,,"3 Calle de Alejandro Villegas, Madrid, Spain",40.4653495,-3.6489016,"Canillas, Madrid"
11585,"Piso en venta en calle de Oña, 7",115.0,,3,2.0,"Calle de Oña, 7",Calle de Oña,7,9,False,Neighborhood 64: Virgen del Cortijo - Manoteras (3636.96 €/m2) - District 9: Hortaleza,sale,1282,333000,2896,HouseType 1: Pisos,False,False,,False,True,True,True,True,False,False,True,True,False,False,en trámite,True,False,16000.0,False,True,True,False,"7 Calle de Oña, Madrid, Spain",40.4887357,-3.6681691,"Virgen del Cortijo - Manoteras, Madrid"
11584,Piso en venta en Sanchinarro,55.0,42.0,1,1.0,,,,6,False,Neighborhood 62: Sanchinarro (4456.18 €/m2) - District 9: Hortaleza,sale,1122,270000,4909,HouseType 1: Pisos,False,False,,False,True,True,True,True,False,True,False,True,True,False,no indicado,False,,,,,,,"Sanchinarro, Madrid, Spain",40.4931887,-3.6564023,"Hortaleza, Madrid"
11583,"Piso en venta en avenida de los Andes, 23",139.0,,3,2.0,"Avenida de los Andes, 23",Avenida de los Andes,23,3,False,Neighborhood 59: Conde Orgaz-Piovera (4275.46 €/m2) - District 9: Hortaleza,sale,2115,695000,5000,HouseType 1: Pisos,False,False,,False,True,True,True,True,False,True,False,True,True,True,no indicado,True,True,0.0,True,False,True,False,"23 Avenida de los Andes, Madrid, Spain",40.4573085,-3.6178026,"Conde Orgaz-Piovera, Madrid"
